"filename", "language", "Python", "JSON", "XML", "C++", "CMake", "YAML", "CMake Cache", "Log", "Markdown", "C", "PostCSS", "Batch", "JavaScript", "HTML", "Shell Script", "Makefile", "comment", "blank", "total"
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00113.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 6, 100
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00113_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 3, 93
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00116.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 5, 6, 106
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00116_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 3, 99
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00119.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 5, 6, 103
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00119_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 5, 3, 96
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00122.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 5, 6, 115
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00122_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 5, 3, 108
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00125.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 6, 100
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00125_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 3, 93
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00128.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 5, 6, 106
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00128_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 3, 99
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00131.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 6, 100
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00131_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 3, 93
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00134.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 5, 6, 106
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00134_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 3, 99
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00137.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 6, 100
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00137_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 3, 93
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00140.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 5, 6, 106
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00140_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 3, 99
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00143.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 5, 6, 103
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00143_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 5, 3, 96
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00146.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 5, 6, 115
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00146_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 5, 3, 108
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00149.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 5, 6, 103
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00149_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 5, 3, 96
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00152.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 5, 6, 115
"c:\Users\nukec\Documents\GitHub\voxelstation13\build\_deps\glm-src\doc\api\a00152_source.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 5, 3, 108
